OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU552,0,0,11,1,0,1,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__GS33,f__unidentified,g__unidentified,s__unidentified
OTU737,0,0,0,1,0,1,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,
OTU647,0,0,0,1,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_terreum
OTU657,0,0,0,1,0,1,k__Fungi,p__Ascomycota,,,,,
OTU624,0,0,0,1,0,1,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,,
OTU138,0,0,112,0,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavulinopsis,
OTU108,0,0,79,0,0,1,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,,
OTU234,0,0,61,0,0,1,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__unidentified,s__unidentified
OTU248,0,0,54,0,0,1,k__Fungi,p__Ascomycota,,,,,
OTU323,0,0,15,0,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,
OTU575,0,0,14,0,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Trechispora,
OTU574,0,0,10,0,0,1,k__Fungi,p__Ascomycota,,,,,
OTU599,0,0,5,0,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,,
OTU232,0,0,5,0,0,1,Unclassified,,,,,,
OTU343,0,0,2,0,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_hinnuleus
