OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species,
OTU1189,1,3,4,5,2,4,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU2701,1,0,1,2,2,4,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__EB1017,g__,s__,
OTU2921,1,0,1,1,2,4,k__Bacteria,,,,,,,
OTU793,1,0,0,0,2,4,k__Bacteria,,,,,,,
OTU2085,1,1,2,2,1,4,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU2104,1,0,1,0,1,4,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU708,1,0,0,0,1,4,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__RB40,g__,s__,
OTU809,1,1,1,0,0,4,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__,
OTU1263,1,1,8,1,12,3,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU2137,1,2,2,5,4,3,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,g__Pilimelia,s__,
OTU170,1,1,0,2,4,3,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
